x	f	g	h	ge	t
3.1683168316831685	1.9446536728846664	0.974286729719021	0.05387838232251462	1.014594981911092	-0.02733795852802491
3.1693169316931695	1.9456280570528024	0.9743406134897206	0.053783701220349256	1.0145676412184947	-0.027296830848594775
3.17031703170317	1.9466024951100975	0.9743944025698489	0.053689144840046554	1.0145403416576901	-0.027255742190861867
3.171317131713171	1.9475769869618527	0.9744480970841404	0.05359471310405538	1.0145130831896525	-0.0272146925701015
3.1723172317231723	1.9485515325134921	0.9745016971572518	0.053500405934695204	1.014485865775341	-0.027173682001432702
3.1733173317331733	1.9495261316705652	0.9745552029137621	0.05340622325415636	1.0144586893756997	-0.027132710499818483
3.1743174317431744	1.9505007843387459	0.9746086144781727	0.0533121649845005	1.0144315539516575	-0.027091778080066155
3.1753175317531754	1.9514754904238325	0.9746619319749069	0.05321823104766104	1.0144044594641286	-0.027050884756827664
3.1763176317631765	1.9524502498317482	0.9747151555283099	0.05312442136544359	1.0143774058740127	-0.027010030544599904
3.1773177317731776	1.9534250624685403	0.9747682852626488	0.05303073585952635	1.0143503931421949	-0.026969215457725033
3.178317831783178	1.9543999282403797	0.9748213213021123	0.0529371744514606	1.014323421229546	-0.026928439510390822
3.1793179317931792	1.9553748470535632	0.9748742637708107	0.05284373706267097	1.0142964900969222	-0.02688770271663089
3.1803180318031803	1.95634981881451	0.9749271127927756	0.052750423614456074	1.0142695997051665	-0.02684700509032514
3.1813181318131813	1.9573248434297645	0.97497986849196	0.052657234027988824	1.0142427500151072	-0.026806346645200003
3.1823182318231824	1.9582999208059941	0.975032530992238	0.052564168224316844	1.0142159409875593	-0.026765727394828777
3.1833183318331835	1.9592750508499908	0.9750851004174048	0.05247122612436293	1.014189172583324	-0.02672514735263194
3.1843184318431845	1.96025023346867	0.9751375768911765	0.05237840764892546	1.0141624447631894	-0.026684606531877472
3.185318531853185	1.9612254685690709	0.97518996053719	0.05228571271867884	1.01413575748793	-0.0266441049456812
3.186318631863186	1.962200756058357	0.9752422514790029	0.0521931412541738	1.0141091107183073	-0.02660364260700702
3.1873187318731873	1.9631760958438145	0.9752944498400932	0.05210069317583804	1.01408250441507	-0.026563219528667362
3.1883188318831883	1.9641514878328534	0.9753465557438594	0.05200836840397649	1.0140559385389538	-0.0265228357233234
3.1893189318931894	1.9651269319330074	0.9753985693136203	0.051916166858771776	1.0140294130506817	-0.026482491203485403
3.1903190319031904	1.966102428051933	0.975450490672615	0.05182408846028464	1.0140029279109644	-0.02644218598151305
3.1913191319131915	1.9670779760974102	0.9755023199440025	0.05173213312845436	1.0139764830804998	-0.026401920069615756
3.1923192319231926	1.9680535759773423	0.9755540572508616	0.05164030078309917	1.0139500785199742	-0.02636169347985298
3.193319331933193	1.969029227599755	0.9756057027161913	0.05154859134391673	1.0139237141900614	-0.026321506224134553
3.1943194319431942	1.9700049308727985	0.9756572564629099	0.05145700473048438	1.0138973900514234	-0.026281358314220946
3.1953195319531953	1.9709806857047447	0.9757087186138554	0.051365540862259786	1.0138711060647105	-0.02624124976172368
3.1963196319631964	1.9719564920039885	0.9757600892917855	0.05127419965858122	1.0138448621905614	-0.02620118057810556
3.1973197319731974	1.9729323496790478	0.9758113686193768	0.05118298103866801	1.0138186583896032	-0.026161150774681043
3.1983198319831985	1.9739082586385632	0.9758625567192254	0.05109188492162096	1.0137924946224517	-0.026121160362616514
3.1993199319931995	1.9748842187912978	0.9759136537138465	0.05100091122642276	1.0137663708497118	-0.026081209352930634
3.2003200320032	1.9758602300461368	0.9759646597256741	0.05091005987193846	1.0137402870319772	-0.026041297756494653
3.201320132013201	1.976836292312089	0.9760155748770613	0.050819330776915715	1.0137142431298305	-0.02600142558403267
3.2023202320232023	1.9778124054982849	0.9760663992902795	0.05072872385998544	1.0136882391038438	-0.02596159284612205
3.2033203320332033	1.9787885695139769	0.9761171330875192	0.05063823903966209	1.0136622749145787	-0.025921799553193663
3.2043204320432044	1.97976478426854	0.9761677763908893	0.05054787623434407	1.0136363505225863	-0.025882045715532223
3.2053205320532054	1.9807410496714712	0.9762183293224167	0.050457635362314214	1.0136104658884073	-0.0258423313432766
3.2063206320632065	1.9817173656323899	0.9762687920040471	0.05036751634174014	1.0135846209725725	-0.025802656446420144
3.2073207320732076	1.982693732061037	0.9763191645576442	0.05027751909067469	1.0135588157356024	-0.025763021034810984
3.208320832083208	1.9836701488672748	0.9763694471049896	0.05018764352705641	1.0135330501380078	-0.025723425118152378
3.2093209320932092	1.9846466159610892	0.976419639767783	0.05009788956870976	1.0135073241402899	-0.02568386870600294
3.2103210321032103	1.9856231332525862	0.9764697426676417	0.05000825713334579	1.01348163770294	-0.025644351807777067
3.2113211321132114	1.9865997006519938	0.976519755926101	0.04991874613856241	1.0134559907864407	-0.025604874432745194
3.2123212321232124	1.9875763180696617	0.9765696796646134	0.04982935650184481	1.0134303833512643	-0.025565436590034105
3.2133213321332135	1.988552985416061	0.9766195140045493	0.04974008814056589	1.013404815357875	-0.025526038288627265
3.2143214321432145	1.9895297026017842	0.9766692590671961	0.04965094097198667	1.0133792867667273	-0.025486679537365123
3.215321532153215	1.9905064695375445	0.9767189149737587	0.04956191491325675	1.0133537975382672	-0.025447360344945442
3.216321632163216	1.991483286134178	0.9767684818453591	0.04947300988141455	1.0133283476329318	-0.02540808071992355
3.2173217321732173	1.9924601523026402	0.9768179598030363	0.04938422579338797	1.0133029370111497	-0.025368840670712753
3.2183218321832183	1.9934370679540083	0.9768673489677462	0.04929556256599464	1.0132775656333413	-0.025329640205584578
3.2193219321932194	1.9944140329994806	0.9769166494603615	0.049207020115942364	1.0132522334599183	-0.0252904793326691
3.2203220322032204	1.9953910473503762	0.9769658614016715	0.049118598359829534	1.0132269404512848	-0.02525135805995527
3.2213221322132215	1.9963681109181346	0.9770149849123825	0.04903029721414555	1.0132016865678366	-0.025212276395291205
3.2223222322232226	1.9973452236143165	0.9770640201131167	0.04894211659527121	1.0131764717699616	-0.02517323434638451
3.223322332233223	1.998322385350603	0.9771129671244131	0.04885405641947917	1.01315129601804	-0.02513423192080261
3.2243224322432242	1.9992995960387963	0.9771618260667269	0.048766116602934194	1.0131261592724445	-0.025095269125972996
3.2253225322532253	2.000276855590818	0.9772105970604291	0.048678297061693805	1.0131010614935407	-0.025056345969183623
