x	f	g	h
0.001	0.0	1.0	0.0
0.0010722672220103231	0.0	1.0	7.22672220103231e-05
0.0011497569953977356	5.599970656917766e-09	1.0000000027999854	0.0001497569953977356
0.0012328467394420659	1.8043241073363557e-08	1.0000000090216206	0.00023284673967471589
0.0013219411484660286	3.878858373783887e-08	1.000000019394292	0.0003219411495024546
0.0014174741629268048	6.954459222877577e-08	1.0000000347722966	0.000417474165816026
0.0015199110829529332	1.123093599654467e-07	1.0000000561546811	0.0005199110894041213
0.0016297508346206436	1.6941626491488414e-07	1.0000000847081352	0.0006297508472398478
0.001747528400007683	2.435867865032188e-07	1.0000001217933991	0.0007475284226036051
0.001873817422860383	3.3799142054844837e-07	1.0000001689957219	0.0008738174608374746
0.002009233002565048	4.5631991856381337e-07	1.000000228159981	0.0010092330634267931
0.0021544346900318843	6.028622624207083e-07	1.0000003014311696	0.0011544347840228436
0.0023101297000831605	7.826019977226878e-07	1.0000003913010642	0.0013101298410054488
0.0024770763559917113	1.0013237934845489e-06	1.000000500662005	0.0014770765622404039
0.0026560877829466868	1.2657373766129531e-06	1.0000006328688626	0.0016560880788195993
0.002848035868435802	1.5836203127437224e-06	1.0000007918104312	0.0018480362857866812
0.0030538555088334154	1.963982476526078e-06	1.0000009819916638	0.0020538560891544327
0.0032745491628777285	2.4172554817227325e-06	1.000001208628389	0.0022745499599180746
0.003511191734215131	2.955510832873131e-06	1.0000014777563897	0.002511192817268407
0.0037649358067924675	3.5927111253537726e-06	1.0000017963570067	0.002764937264817668
0.004037017258596553	4.344999270512582e-06	1.000002172501755	0.0030370192053771764
0.004328761281083057	5.231031469858085e-06	1.000002615518817	0.003328763861678081
0.004641588833612782	6.272360521656235e-06	1.0000031361847048	0.0036415922324141564
0.004977023564332114	7.493877031525686e-06	1.0000037469448753	0.00397702801511876
0.005336699231206312	8.924317235040896e-06	1.000004462167657	0.004336705029677855
0.00572236765935022	1.0596847447160535e-05	1.0000052984364944	0.00472237517873895
0.006135907273413176	1.2549736656036723e-05	1.0000062748862726	0.005135916983915289
0.006579332246575682	1.4827130506794216e-05	1.0000074135903432	0.005579344739519072
0.007054802310718645	1.7479941907969054e-05	1.0000087400058773	0.006054818328602311
0.007564633275546291	2.0566875778296484e-05	1.0000102834863023	0.006564653749355586
0.008111308307896872	2.4155608079095813e-05	1.000012077870905	0.007111334403431375
0.008697490026177835	2.832414229896974e-05	1.0000141621631884	0.007697523201539457
0.0093260334688322	3.31623700319772e-05	1.0000165813113149	0.008326075545728628
0.01	3.877386628577298e-05	1.0000193871059648	0.009000053252145297
0.010722672220103232	4.5277954750548126e-05	1.000022639213245	0.009722739482771437
0.011497569953977356	5.281208354279619e-05	1.0000264063629245	0.010497654759720601
0.012328467394420659	6.153455801330548e-05	1.0000307677153242	0.011328574141143268
0.013219411484660293	7.162768419519862e-05	1.0000358144336863	0.012219545643697042
0.014174741629268055	8.330138450203287e-05	1.0000416514928832	0.013174910002912916
0.01519911082952934	9.679735652523116e-05	1.0000483997599585	0.014199321869680655
0.016297508346206444	0.0001123938564053873	1.000056198387332	0.015297772548533905
0.01747528400007684	0.0001304112004714974	1.0000652075656378	0.016475614391496685
0.01873817422860384	0.00015121809289549742	1.0000756116902332	0.017738586970021158
0.02009233002565047	0.00017523890327236736	1.0000876230035487	0.01909284515707644
0.021544346900318846	0.00020296203662587274	1.0001014857848176	0.02054498926182458
0.023101297000831605	0.0002349495597221041	1.0001174811695053	0.02210209737064021
0.024770763559917114	0.00027184827216803967	1.0001359326931802	0.02377176006060953
0.026560877829466867	0.00031440243906484967	1.0001572126688798	0.025562117665213043
0.02848035868435802	0.000363468434533701	1.0001817495235124	0.027481900286812258
0.030538555088334154	0.0004200315828784487	1.0002100362378474	0.029540470767004112
0.03274549162877728	0.0004852255272360421	1.0002426400565716	0.03174787084409536
0.03511191734215131	0.0005603545051463868	1.0002802136601765	0.03411487074713835
0.037649358067924674	0.0006469189675346702	1.000323508019643	0.036653022498464964
0.04037017258596556	0.0007466450432785728	1.0003733871886076	0.0393747172218224
0.04328761281083059	0.0008615184271442035	1.0004308453266653	0.04229324678149093
0.046415888336127795	0.0009938233559360962	1.0004970262925414	0.04542287010967872
0.049770235643321115	0.001146187437973489	1.0005732461980374	0.04877888461567803
0.0533669923120631	0.0013216332165087248	1.0006610193741179	0.052377703111505636
0.05722367659350217	0.001523637480796751	1.000762088270628	0.056236936735974595
0.06135907273413173	0.0017561994919355287	1.000878457892588	0.06037548441349733
0.06579332246575682	0.0020239194674928143	1.0010124354707295	0.06481362944679687
0.07054802310718646	0.0023320888729968818	1.0011666761743	0.06957314391580859
0.07564633275546291	0.002686794303883775	1.0013442358029312	0.0746774016404809
0.08111308307896872	0.0030950370134604473	1.0015486315449529	0.08015150056549725
0.08697490026177834	0.003564870456703254	1.00178391206602	0.08602239554330691
0.093260334688322	0.004105558583104911	1.002054738399257	0.09231904263216426
0.1	0.0047277580323402315	1.002366477352425	0.09907255619295631
0.10722672220103231	0.0054437278736928895	1.0027253094363087	0.10631638026840963
0.11497569953977356	0.0062675710951297925	1.0031383536608798	0.11408647596821389
0.12328467394420659	0.007215512703841645	1.0036138119532447	0.12242152687288722
0.13219411484660287	0.008306220062696754	1.0041611364383178	0.13136316481931332
0.14174741629268048	0.009561171975126431	1.0047912234075982	0.14095621885614443
0.1519911082952933	0.01100508406694166	1.0055166385062122	0.1512489906756604
0.16297508346206452	0.012666399224522326	1.0063518785225871	0.1622935604627879
0.1747528400007685	0.014577853267452475	1.0073136762059933	0.17414612788029432
